Illumina Library,Note,Library Creation Attempt,Nucleic Acid ID,Library Plate Container Barcode,Container Type,Well,Library Plate Label,Index Name,Final Aliquot Mass (ng),Library Concentration (ng/ul),Library Template Size (bp),Library Molarity QC (pM),Library Volume (ul),Number PCR Cycles,Library QC Result,Failure Mode,Complete
Lib_60,,1,NA00456215,27-810254,Plate,C19,XUPVQ-1,,250,,,,,,,,FALSE
Lib_61,,1,NA00456221,27-810254,Plate,E19,XUPVQ-1,,250,,,,,,,,FALSE
Lib_62,,1,NA00456145,27-810254,Plate,G19,XUPVQ-1,,250,,,,,,,,FALSE
Lib_63,,1,NA00456151,27-810254,Plate,I19,XUPVQ-1,,250,,,,,,,,FALSE
Lib_64,,1,NA00456158,27-810254,Plate,M19,XUPVQ-1,,250,,,,,,,,FALSE
Lib_65,,1,NA00456166,27-810254,Plate,G21,XUPVQ-1,,250,,,,,,,,FALSE
Lib_66,,1,NA00456174,27-810254,Plate,I21,XUPVQ-1,,250,,,,,,,,FALSE
Lib_67,,1,NA00456182,27-810254,Plate,K21,XUPVQ-1,,250,,,,,,,,FALSE
Lib_68,,1,NA00456189,27-810254,Plate,M21,XUPVQ-1,,250,,,,,,,,FALSE
Lib_69,,1,NA00456197,27-810254,Plate,O21,XUPVQ-1,,250,,,,,,,,FALSE
Lib_70,,1,NA00456204,27-810254,Plate,A23,XUPVQ-1,,250,,,,,,,,FALSE
Lib_71,,1,NA00456211,27-810254,Plate,C23,XUPVQ-1,,250,,,,,,,,FALSE
