Library_Plate_Barcode,Dilution_Plate_Barcode,FA_Plate_Barcode,Library_Well,FA_Well,Nextera_Vol_Add,Dilution_Vol,FA_Vol_Add,Dilution_Plate_Preload,Total_buffer_aspiration
hXUPVQ-2,XUPVQ-2D,XUPVQ-2F,A13,A7,30,2.4,2.4,10,40
hXUPVQ-2,XUPVQ-2D,XUPVQ-2F,C13,B7,30,2.4,2.4,10,40
hXUPVQ-2,XUPVQ-2D,XUPVQ-2F,E13,C7,30,2.4,2.4,10,40
hXUPVQ-2,XUPVQ-2D,XUPVQ-2F,G13,D7,30,2.4,2.4,10,40
hXUPVQ-2,XUPVQ-2D,XUPVQ-2F,I13,E7,30,2.4,2.4,10,40
hXUPVQ-2,XUPVQ-2D,XUPVQ-2F,K13,F7,30,2.4,2.4,10,40
hXUPVQ-2,XUPVQ-2D,XUPVQ-2F,M13,G7,30,2.4,2.4,10,40
hXUPVQ-2,XUPVQ-2D,XUPVQ-2F,O13,H7,30,2.4,2.4,10,40
hXUPVQ-2,XUPVQ-2D,XUPVQ-2F,A15,A8,30,2.4,2.4,10,40
hXUPVQ-2,XUPVQ-2D,XUPVQ-2F,C15,B8,30,2.4,2.4,10,40
hXUPVQ-2,XUPVQ-2D,XUPVQ-2F,E15,C8,30,2.4,2.4,10,40
hXUPVQ-2,XUPVQ-2D,XUPVQ-2F,G15,D8,30,2.4,2.4,10,40
hXUPVQ-2,XUPVQ-2D,XUPVQ-2F,I15,E8,30,2.4,2.4,10,40
hXUPVQ-2,XUPVQ-2D,XUPVQ-2F,K15,F8,30,2.4,2.4,10,40
hXUPVQ-2,XUPVQ-2D,XUPVQ-2F,M15,G8,30,2.4,2.4,10,40
hXUPVQ-2,XUPVQ-2D,XUPVQ-2F,O15,H8,30,2.4,2.4,10,40
hXUPVQ-2,XUPVQ-2D,XUPVQ-2F,A17,A9,30,2.4,2.4,10,40
hXUPVQ-2,XUPVQ-2D,XUPVQ-2F,C17,B9,30,2.4,2.4,10,40
hXUPVQ-2,XUPVQ-2D,XUPVQ-2F,E17,C9,30,2.4,2.4,10,40
hXUPVQ-2,XUPVQ-2D,XUPVQ-2F,G17,D9,30,2.4,2.4,10,40
hXUPVQ-2,XUPVQ-2D,XUPVQ-2F,I17,E9,30,2.4,2.4,10,40
hXUPVQ-2,XUPVQ-2D,XUPVQ-2F,K17,F9,30,2.4,2.4,10,40
hXUPVQ-2,XUPVQ-2D,XUPVQ-2F,M17,G9,30,2.4,2.4,10,40
hXUPVQ-2,XUPVQ-2D,XUPVQ-2F,O17,H9,30,2.4,2.4,10,40
hXUPVQ-2,XUPVQ-2D,XUPVQ-2F,A19,A10,30,2.4,2.4,10,40
hXUPVQ-2,XUPVQ-2D,XUPVQ-2F,C19,B10,30,2.4,2.4,10,40
hXUPVQ-2,XUPVQ-2D,XUPVQ-2F,E19,C10,30,2.4,2.4,10,40
hXUPVQ-2,XUPVQ-2D,XUPVQ-2F,G19,D10,30,2.4,2.4,10,40
hXUPVQ-2,XUPVQ-2D,XUPVQ-2F,I19,E10,30,2.4,2.4,10,40
hXUPVQ-2,XUPVQ-2D,XUPVQ-2F,K19,F10,30,2.4,2.4,10,40
hXUPVQ-2,XUPVQ-2D,XUPVQ-2F,M19,G10,30,2.4,2.4,10,40
hXUPVQ-2,XUPVQ-2D,XUPVQ-2F,O19,H10,30,2.4,2.4,10,40
hXUPVQ-2,XUPVQ-2D,XUPVQ-2F,A21,A11,30,2.4,2.4,10,40
hXUPVQ-2,XUPVQ-2D,XUPVQ-2F,C21,B11,30,2.4,2.4,10,40
hXUPVQ-2,XUPVQ-2D,XUPVQ-2F,E21,C11,30,2.4,2.4,10,40
hXUPVQ-2,XUPVQ-2D,XUPVQ-2F,G21,D11,30,2.4,2.4,10,40
hXUPVQ-2,XUPVQ-2D,XUPVQ-2F,I21,E11,30,2.4,2.4,10,40
hXUPVQ-2,XUPVQ-2D,XUPVQ-2F,K21,F11,30,2.4,2.4,10,40
hXUPVQ-2,XUPVQ-2D,XUPVQ-2F,M21,G11,30,2.4,2.4,10,40
hXUPVQ-2,XUPVQ-2D,XUPVQ-2F,O21,H11,30,2.4,2.4,10,40
hXUPVQ-2,XUPVQ-2D,XUPVQ-2F,A23,A12,30,2.4,2.4,10,40
hXUPVQ-2,XUPVQ-2D,XUPVQ-2F,C23,B12,30,2.4,2.4,10,40
hXUPVQ-2,XUPVQ-2D,XUPVQ-2F,E23,C12,30,2.4,2.4,10,40
hXUPVQ-2,XUPVQ-2D,XUPVQ-2F,G23,D12,30,2.4,2.4,10,40
