Illumina_index_set,Illumina_source_well,Lib_plate_name,Lib_plate_ID,Lib_plate_well,Primer_volume_(uL)
PE17,H12,BP9735_FULL.1,hXUPVQ-6,O23,2
PE18,A1,BP9735_FULL.1,hXUPVQ-6,B1,2
PE18,B1,BP9735_FULL.1,hXUPVQ-6,D1,2
PE18,C1,BP9735_FULL.1,hXUPVQ-6,F1,2
PE18,D1,BP9735_FULL.1,hXUPVQ-6,H1,2
PE18,E1,BP9735_FULL.1,hXUPVQ-6,J1,2
PE18,F1,BP9735_FULL.1,hXUPVQ-6,L1,2
PE18,G1,BP9735_FULL.1,hXUPVQ-6,N1,2
PE18,H1,BP9735_FULL.1,hXUPVQ-6,P1,2
PE18,A2,BP9735_FULL.1,hXUPVQ-6,B3,2
PE18,B2,BP9735_FULL.1,hXUPVQ-6,D3,2
PE18,C2,BP9735_FULL.1,hXUPVQ-6,F3,2
PE18,D2,BP9735_FULL.1,hXUPVQ-6,H3,2
PE18,E2,BP9735_FULL.1,hXUPVQ-6,J3,2
PE18,F2,BP9735_FULL.1,hXUPVQ-6,L3,2
PE18,G2,BP9735_FULL.1,hXUPVQ-6,N3,2
PE18,H2,BP9735_FULL.1,hXUPVQ-6,P3,2
PE18,A3,BP9735_FULL.1,hXUPVQ-6,B5,2
PE18,B3,BP9735_FULL.1,hXUPVQ-6,D5,2
PE18,C3,BP9735_FULL.1,hXUPVQ-6,F5,2
PE18,D3,BP9735_FULL.1,hXUPVQ-6,H5,2
PE18,E3,BP9735_FULL.1,hXUPVQ-6,J5,2
PE18,F3,BP9735_FULL.1,hXUPVQ-6,L5,2
PE18,G3,BP9735_FULL.1,hXUPVQ-6,N5,2
PE18,H3,BP9735_FULL.1,hXUPVQ-6,P5,2
PE18,A4,BP9735_FULL.1,hXUPVQ-6,B7,2
PE18,B4,BP9735_FULL.1,hXUPVQ-6,D7,2
PE18,C4,BP9735_FULL.1,hXUPVQ-6,F7,2
PE18,D4,BP9735_FULL.1,hXUPVQ-6,H7,2
PE18,E4,BP9735_FULL.1,hXUPVQ-6,J7,2
PE18,F4,BP9735_FULL.1,hXUPVQ-6,L7,2
PE18,G4,BP9735_FULL.1,hXUPVQ-6,N7,2
PE18,H4,BP9735_FULL.1,hXUPVQ-6,P7,2
