Plate_Barcode,Index_Set,Passed_Count,Total_Count,Pass_Percentage
XUPVQ-1,All,69,88,78
XUPVQ-1,PE18,69,88,78
XUPVQ-2,All,69,88,78
XUPVQ-2,PE19,69,88,78
XUPVQ-3,All,63,88,72
XUPVQ-3,PE20,63,88,72
XUPVQ-6,All,58,80,72
XUPVQ-6,PE17,16,24,67
XUPVQ-6,PE18,18,24,75
XUPVQ-6,PE19,13,16,81
XUPVQ-6,PE20,11,16,69
