Well,Sample ID,Range,ng/uL,% Total,nmole/L,Avg. Size,%CV,Size Threshold (b.p.),DQN
F8,XUPVQ-2_BP9735_SitukAM.2_K15,400 bp to 800 bp,0.1611,16.5,0.4255,623,16.59,300,9.4
G8,XUPVQ-2_BP9735_SitukAM.2_M15,400 bp to 800 bp,0.3207,22,0.8696,607,18.32,300,9.3
H8,XUPVQ-2_BP9735_SitukAM.2_O15,400 bp to 800 bp,0.1741,22.4,0.4603,622,17.13,300,9.4
A9,XUPVQ-2_BP9735_SitukAM.2_A17,400 bp to 800 bp,0.1748,24.4,0.469,614,17.62,300,9.3
B9,XUPVQ-2_BP9735_SitukAM.2_C17,400 bp to 800 bp,0.2598,24.1,0.6897,620,16.94,300,9.6
C9,XUPVQ-2_BP9735_SitukAM.2_E17,400 bp to 800 bp,0.303,25.3,0.8221,607,18.21,300,9.3
D9,XUPVQ-2_BP9735_SitukAM.2_G17,400 bp to 800 bp,0.9304,25.4,2.5301,605,18.35,300,9.4
E9,XUPVQ-2_BP9735_SitukAM.2_I17,400 bp to 800 bp,0.2136,23.3,0.5779,608,18.11,300,9.2
F9,XUPVQ-2_BP9735_SitukAM.2_K17,400 bp to 800 bp,0.7871,25.6,2.1536,601,18.98,300,9.7
G9,XUPVQ-2_BP9735_SitukAM.2_M17,400 bp to 800 bp,0.5683,23.3,1.5523,602,18.55,300,9.3
H9,XUPVQ-2_BP9735_SitukAM.2_O17,400 bp to 800 bp,0.1766,22.1,0.4693,619,17.05,300,9.2
A10,XUPVQ-2_BP9735_SitukAM.2_A19,400 bp to 800 bp,0.0905,20.5,0.2381,626,15.87,300,8.9
B10,XUPVQ-2_BP9735_SitukAM.2_C19,400 bp to 800 bp,0.1064,15.1,0.2853,614,16.06,300,9
C10,XUPVQ-2_BP9735_SitukAM.2_E19,400 bp to 800 bp,0.0919,17,0.2484,609,17.15,300,8.2
D10,XUPVQ-2_BP9735_SitukAM.2_G19,400 bp to 800 bp,0.2865,21.4,0.7894,597,17.94,300,9
E10,XUPVQ-2_BP9735_SitukAM.2_I19,400 bp to 800 bp,0.1223,20.3,0.3292,611,16.61,300,8.9
F10,XUPVQ-2_BP9735_SitukAM.2_K19,400 bp to 800 bp,0.0289,4.8,0.0729,652,13.91,300,7.1
G10,XUPVQ-2_BP9735_SitukAM.2_M19,400 bp to 800 bp,0.0554,11.1,0.148,616,16.13,300,7.2
H10,XUPVQ-2_BP9735_SitukAM.2_O19,400 bp to 800 bp,0.0341,6.9,0.0929,604,13.55,300,6.8
A11,XUPVQ-2_BP9735_SitukAM.2_A21,400 bp to 800 bp,0.0203,4.7,0.0516,647,13.53,300,6.5
B11,XUPVQ-2_BP9735_SitukAM.2_C21,400 bp to 800 bp,0.0162,4.7,0.0428,622,12.27,300,6.9
C11,XUPVQ-2_BP9735_SitukAM.2_E21,400 bp to 800 bp,0.0291,5.5,0.0782,611,13.02,300,7.2
D11,XUPVQ-2_BP9735_SitukAM.2_G21,400 bp to 800 bp,0.0943,11.5,0.2561,606,16.21,300,8.1
E11,XUPVQ-2_BP9735_SitukAM.2_I21,400 bp to 800 bp,0.1997,20.5,0.5305,619,17.03,300,9.5
F11,XUPVQ-2_BP9735_SitukAM.2_K21,400 bp to 800 bp,0.8199,26.1,2.223,607,18.29,300,9.5
G11,XUPVQ-2_BP9735_SitukAM.2_M21,400 bp to 800 bp,0.1242,19.6,0.3275,624,16.82,300,9.2
H11,XUPVQ-2_BP9735_SitukAM.2_O21,400 bp to 800 bp,0.3469,20.5,0.9309,613,17.25,300,9.6
A12,XUPVQ-2_BP9735_SitukAM.2_A23,100 bp to 4000 bp,4.4129,49.6,9.8975,734,63.45,300,8.6
B12,XUPVQ-2_BP9735_SitukAM.2_C23,400 bp to 800 bp,0.4218,22.7,1.1334,612,17.95,300,9.6
C12,XUPVQ-2_BP9735_SitukAM.2_E23,400 bp to 800 bp,0.2473,18.3,0.6457,630,16.59,300,9.8
D12,XUPVQ-2_BP9735_SitukAM.2_G23,400 bp to 800 bp,0.2307,18.2,0.6173,615,17.3,300,9.3
E12,LibStd_E12,400 bp to 800 bp,0.126,14.4,0.3357,618,16.51,300,9.2
F12,LibStd_F12,400 bp to 800 bp,0.0756,12.7,0.1985,627,16.22,300,8.6
G12,LibStd_G12,400 bp to 800 bp,0.1163,14.2,0.3097,618,17.11,300,8.7
H12,ladder_H12,,,,,,,300,5
