Plate_ID,Well_Row,Well_Col,Well,Sample,Type,number_of_cells/capsules,Group_1,Group_2,Group_3
BP9735_FULL.1,H,6,H6,FULL,sample,1,BRIGHT,,
BP9735_FULL.1,I,6,I6,FULL,sample,1,BRIGHT,,
BP9735_FULL.1,J,6,J6,FULL,sample,1,BRIGHT,,
BP9735_FULL.1,K,6,K6,FULL,sample,1,BRIGHT,,
BP9735_FULL.1,L,6,L6,FULL,sample,1,BRIGHT,,
BP9735_FULL.1,M,6,M6,FULL,sample,1,BRIGHT,,
BP9735_FULL.1,N,6,N6,FULL,sample,1,BRIGHT,,
BP9735_FULL.1,O,6,O6,FULL,sample,1,BRIGHT,,
BP9735_FULL.1,P,6,P6,FULL,sample,1,BRIGHT,,
BP9735_FULL.1,A,7,A7,FULL,sample,1,BRIGHT,,
BP9735_FULL.1,B,7,B7,FULL,sample,1,BRIGHT,,
BP9735_FULL.1,C,7,C7,FULL,sample,1,BRIGHT,,
BP9735_FULL.1,D,7,D7,FULL,sample,1,BRIGHT,,
BP9735_FULL.1,E,7,E7,FULL,sample,1,BRIGHT,,
BP9735_FULL.1,F,7,F7,FULL,sample,1,BRIGHT,,
BP9735_FULL.1,G,7,G7,FULL,sample,1,BRIGHT,,
BP9735_FULL.1,H,7,H7,FULL,sample,1,BRIGHT,,
BP9735_FULL.1,I,7,I7,FULL,sample,1,BRIGHT,,
BP9735_FULL.1,J,7,J7,FULL,sample,1,BRIGHT,,
BP9735_FULL.1,K,7,K7,FULL,sample,1,BRIGHT,,
BP9735_FULL.1,L,7,L7,FULL,sample,1,BRIGHT,,
BP9735_FULL.1,M,7,M7,FULL,sample,1,BRIGHT,,
BP9735_FULL.1,N,7,N7,FULL,sample,1,BRIGHT,,
BP9735_FULL.1,O,7,O7,FULL,sample,1,BRIGHT,,
BP9735_FULL.1,P,7,P7,FULL,sample,1,BRIGHT,,
BP9735_FULL.1,A,8,A8,FULL,sample,1,dim,,
BP9735_FULL.1,B,8,B8,FULL,sample,1,dim,,
BP9735_FULL.1,C,8,C8,FULL,sample,1,dim,,
BP9735_FULL.1,D,8,D8,FULL,sample,1,dim,,
BP9735_FULL.1,E,8,E8,FULL,sample,1,dim,,
BP9735_FULL.1,F,8,F8,FULL,sample,1,dim,,
BP9735_FULL.1,G,8,G8,FULL,sample,1,dim,,
BP9735_FULL.1,H,8,H8,FULL,sample,1,dim,,
BP9735_FULL.1,I,8,I8,FULL,sample,1,dim,,
BP9735_FULL.1,J,8,J8,FULL,sample,1,dim,,
BP9735_FULL.1,K,8,K8,FULL,sample,1,dim,,
BP9735_FULL.1,L,8,L8,FULL,sample,1,dim,,
BP9735_FULL.1,M,8,M8,FULL,sample,1,dim,,
BP9735_FULL.1,N,8,N8,FULL,sample,1,dim,,
BP9735_FULL.1,O,8,O8,FULL,sample,1,dim,,
BP9735_FULL.1,P,8,P8,FULL,sample,1,dim,,
BP9735_FULL.1,A,9,A9,FULL,sample,1,dim,,
BP9735_FULL.1,B,9,B9,FULL,sample,1,dim,,
BP9735_FULL.1,C,9,C9,FULL,sample,1,dim,,
BP9735_FULL.1,D,9,D9,FULL,sample,1,dim,,
BP9735_FULL.1,E,9,E9,FULL,sample,1,dim,,
BP9735_FULL.1,F,9,F9,FULL,sample,1,dim,,
BP9735_FULL.1,G,9,G9,FULL,sample,1,dim,,
BP9735_FULL.1,H,9,H9,FULL,sample,1,dim,,
BP9735_FULL.1,I,9,I9,FULL,sample,1,dim,,
BP9735_FULL.1,J,9,J9,FULL,sample,1,dim,,
BP9735_FULL.1,K,9,K9,FULL,sample,1,dim,,
BP9735_FULL.1,L,9,L9,FULL,sample,1,dim,,
BP9735_FULL.1,M,9,M9,FULL,sample,1,dim,,
BP9735_FULL.1,N,9,N9,FULL,sample,1,dim,,
BP9735_FULL.1,O,9,O9,FULL,sample,1,dim,,
BP9735_FULL.1,P,9,P9,FULL,sample,1,dim,,
BP9735_FULL.1,A,10,A10,FULL,sample,1,dim,,
BP9735_FULL.1,B,10,B10,FULL,sample,1,dim,,
BP9735_FULL.1,C,10,C10,FULL,sample,1,dim,,
BP9735_FULL.1,D,10,D10,FULL,sample,1,dim,,
BP9735_FULL.1,E,10,E10,FULL,sample,1,dim,,
BP9735_FULL.1,F,10,F10,FULL,sample,1,dim,,
BP9735_FULL.1,G,10,G10,FULL,sample,1,dim,,
BP9735_FULL.1,H,10,H10,FULL,sample,1,dim,,
BP9735_FULL.1,I,10,I10,FULL,sample,1,dim,,
BP9735_FULL.1,J,10,J10,FULL,sample,1,dim,,
BP9735_FULL.1,K,10,K10,FULL,sample,1,dim,,
BP9735_FULL.1,L,10,L10,FULL,sample,1,dim,,
BP9735_FULL.1,M,10,M10,FULL,sample,1,dim,,
BP9735_FULL.1,N,10,N10,FULL,sample,1,dim,,
BP9735_FULL.1,O,10,O10,FULL,sample,1,dim,,
BP9735_FULL.1,P,10,P10,FULL,sample,1,dim,,
BP9735_FULL.1,A,11,A11,FULL,sample,1,dim,,
BP9735_FULL.1,B,11,B11,FULL,sample,1,dim,,
BP9735_FULL.1,C,11,C11,FULL,sample,1,dim,,
BP9735_FULL.1,D,11,D11,FULL,sample,1,dim,,
BP9735_FULL.1,E,11,E11,FULL,sample,1,dim,,
BP9735_FULL.1,F,11,F11,FULL,sample,1,dim,,
BP9735_FULL.1,G,11,G11,FULL,sample,1,dim,,
BP9735_FULL.1,H,11,H11,FULL,sample,1,dim,,
BP9735_FULL.1,I,11,I11,FULL,sample,1,dim,,
BP9735_FULL.1,J,11,J11,FULL,sample,1,dim,,
BP9735_FULL.1,K,11,K11,FULL,sample,1,dim,,
BP9735_FULL.1,L,11,L11,FULL,sample,1,dim,,
BP9735_FULL.1,M,11,M11,FULL,sample,1,dim,,
BP9735_FULL.1,N,11,N11,FULL,sample,1,dim,,
BP9735_FULL.1,O,11,O11,FULL,sample,1,dim,,
BP9735_FULL.1,P,11,P11,FULL,sample,1,dim,,
BP9735_FULL.1,A,12,A12,FULL,sample,1,dim,,
BP9735_FULL.1,B,12,B12,FULL,sample,1,dim,,
BP9735_FULL.1,C,12,C12,FULL,sample,1,dim,,
BP9735_FULL.1,D,12,D12,FULL,sample,1,dim,,
BP9735_FULL.1,E,12,E12,FULL,sample,1,dim,,
BP9735_FULL.1,F,12,F12,FULL,sample,1,dim,,
BP9735_FULL.1,G,12,G12,FULL,sample,1,dim,,
BP9735_FULL.1,H,12,H12,FULL,sample,1,dim,,
BP9735_FULL.1,I,12,I12,FULL,sample,1,dim,,
BP9735_FULL.1,J,12,J12,FULL,sample,1,dim,,
BP9735_FULL.1,K,12,K12,FULL,sample,1,dim,,
BP9735_FULL.1,L,12,L12,FULL,sample,1,dim,,
BP9735_FULL.1,M,12,M12,FULL,sample,1,dim,,
BP9735_FULL.1,N,12,N12,FULL,sample,1,dim,,
BP9735_FULL.1,O,12,O12,FULL,sample,1,dim,,
BP9735_FULL.1,P,12,P12,FULL,sample,1,dim,,
BP9735_FULL.1,A,13,A13,FULL,sample,1,dim,,
BP9735_FULL.1,B,13,B13,FULL,sample,1,dim,,
BP9735_FULL.1,C,13,C13,FULL,sample,1,dim,,
BP9735_FULL.1,D,13,D13,FULL,sample,1,dim,,
BP9735_FULL.1,E,13,E13,FULL,sample,1,dim,,
BP9735_FULL.1,F,13,F13,FULL,sample,1,dim,,
BP9735_FULL.1,G,13,G13,FULL,sample,1,dim,,
BP9735_FULL.1,H,13,H13,FULL,sample,1,dim,,
BP9735_FULL.1,I,13,I13,FULL,sample,1,dim,,
BP9735_FULL.1,J,13,J13,FULL,sample,1,dim,,
BP9735_FULL.1,K,13,K13,FULL,sample,1,dim,,
BP9735_FULL.1,L,13,L13,FULL,sample,1,dim,,
BP9735_FULL.1,M,13,M13,FULL,sample,1,dim,,
BP9735_FULL.1,N,13,N13,FULL,sample,1,dim,,
BP9735_FULL.1,O,13,O13,FULL,sample,1,dim,,
BP9735_FULL.1,P,13,P13,FULL,sample,1,dim,,
BP9735_FULL.1,A,14,A14,FULL,sample,1,dim,,
BP9735_FULL.1,B,14,B14,FULL,sample,1,dim,,
BP9735_FULL.1,C,14,C14,FULL,sample,1,dim,,
BP9735_FULL.1,D,14,D14,FULL,sample,1,dim,,
BP9735_FULL.1,E,14,E14,FULL,sample,1,dim,,
BP9735_FULL.1,F,14,F14,FULL,sample,1,dim,,
BP9735_FULL.1,G,14,G14,FULL,sample,1,dim,,
BP9735_FULL.1,H,14,H14,FULL,sample,1,dim,,
BP9735_FULL.1,I,14,I14,FULL,sample,1,dim,,
BP9735_FULL.1,J,14,J14,FULL,sample,1,dim,,
BP9735_FULL.1,K,14,K14,FULL,sample,1,dim,,
BP9735_FULL.1,L,14,L14,FULL,sample,1,dim,,
BP9735_FULL.1,M,14,M14,FULL,sample,1,dim,,
BP9735_FULL.1,N,14,N14,FULL,sample,1,dim,,
BP9735_FULL.1,O,14,O14,FULL,sample,1,dim,,
BP9735_FULL.1,P,14,P14,FULL,sample,1,dim,,
BP9735_FULL.1,A,15,A15,FULL,sample,1,dim,,
BP9735_FULL.1,B,15,B15,FULL,sample,1,dim,,
BP9735_FULL.1,C,15,C15,FULL,sample,1,dim,,
BP9735_FULL.1,D,15,D15,FULL,sample,1,dim,,
BP9735_FULL.1,E,15,E15,FULL,sample,1,dim,,
BP9735_FULL.1,F,15,F15,FULL,sample,1,dim,,
BP9735_FULL.1,G,15,G15,FULL,sample,1,dim,,
BP9735_FULL.1,H,15,H15,FULL,sample,1,dim,,
BP9735_FULL.1,I,15,I15,FULL,sample,1,dim,,
BP9735_FULL.1,J,15,J15,FULL,sample,1,dim,,
BP9735_FULL.1,K,15,K15,FULL,sample,1,dim,,
BP9735_FULL.1,L,15,L15,FULL,sample,1,dim,,
BP9735_FULL.1,M,15,M15,FULL,sample,1,dim,,
BP9735_FULL.1,N,15,N15,FULL,sample,1,dim,,
BP9735_FULL.1,O,15,O15,FULL,sample,1,dim,,
BP9735_FULL.1,P,15,P15,FULL,sample,1,dim,,
BP9735_FULL.1,A,16,A16,FULL,sample,1,dim,,
BP9735_FULL.1,B,16,B16,FULL,sample,1,dim,,
BP9735_FULL.1,C,16,C16,FULL,sample,1,dim,,
BP9735_FULL.1,D,16,D16,FULL,sample,1,dim,,
BP9735_FULL.1,E,16,E16,FULL,sample,1,dim,,
BP9735_FULL.1,F,16,F16,FULL,sample,1,dim,,
BP9735_FULL.1,G,16,G16,FULL,sample,1,dim,,
BP9735_FULL.1,H,16,H16,FULL,sample,1,dim,,
BP9735_FULL.1,I,16,I16,FULL,sample,1,dim,,
BP9735_FULL.1,J,16,J16,FULL,sample,1,dim,,
BP9735_FULL.1,K,16,K16,FULL,sample,1,dim,,
BP9735_FULL.1,L,16,L16,FULL,sample,1,dim,,
BP9735_FULL.1,M,16,M16,FULL,sample,1,dim,,
BP9735_FULL.1,N,16,N16,FULL,sample,1,dim,,
BP9735_FULL.1,O,16,O16,FULL,sample,1,dim,,
BP9735_FULL.1,P,16,P16,FULL,sample,1,dim,,
BP9735_FULL.1,A,17,A17,FULL,sample,1,dim,,
BP9735_FULL.1,B,17,B17,FULL,sample,1,dim,,
BP9735_FULL.1,C,17,C17,FULL,sample,1,dim,,
BP9735_FULL.1,D,17,D17,FULL,sample,1,dim,,
BP9735_FULL.1,E,17,E17,FULL,sample,1,dim,,
BP9735_FULL.1,F,17,F17,FULL,sample,1,dim,,
BP9735_FULL.1,G,17,G17,FULL,sample,1,dim,,
BP9735_FULL.1,H,17,H17,FULL,sample,1,dim,,
BP9735_FULL.1,I,17,I17,FULL,sample,1,dim,,
BP9735_FULL.1,J,17,J17,FULL,sample,1,dim,,
BP9735_FULL.1,K,17,K17,FULL,sample,1,dim,,
BP9735_FULL.1,L,17,L17,FULL,sample,1,dim,,
BP9735_FULL.1,M,17,M17,FULL,sample,1,dim,,
BP9735_FULL.1,N,17,N17,FULL,sample,1,dim,,
BP9735_FULL.1,O,17,O17,FULL,sample,1,dim,,
BP9735_FULL.1,P,17,P17,FULL,sample,1,dim,,
BP9735_FULL.1,A,18,A18,FULL,sample,1,dim,,
BP9735_FULL.1,B,18,B18,FULL,sample,1,dim,,
BP9735_FULL.1,C,18,C18,FULL,sample,1,dim,,
BP9735_FULL.1,D,18,D18,FULL,sample,1,dim,,
BP9735_FULL.1,E,18,E18,FULL,sample,1,dim,,
BP9735_FULL.1,F,18,F18,FULL,sample,1,dim,,
BP9735_FULL.1,G,18,G18,FULL,sample,1,dim,,
BP9735_FULL.1,H,18,H18,FULL,sample,1,dim,,
BP9735_FULL.1,I,18,I18,FULL,sample,1,dim,,
BP9735_FULL.1,J,18,J18,FULL,sample,1,dim,,
BP9735_FULL.1,K,18,K18,FULL,sample,1,dim,,
BP9735_FULL.1,L,18,L18,FULL,sample,1,dim,,
BP9735_FULL.1,M,18,M18,FULL,sample,1,dim,,
BP9735_FULL.1,N,18,N18,FULL,sample,1,dim,,
BP9735_FULL.1,O,18,O18,FULL,sample,1,dim,,
BP9735_FULL.1,P,18,P18,FULL,sample,1,dim,,
BP9735_FULL.1,A,19,A19,FULL,sample,1,dim,,
BP9735_FULL.1,B,19,B19,FULL,sample,1,dim,,
BP9735_FULL.1,C,19,C19,FULL,sample,1,dim,,
BP9735_FULL.1,D,19,D19,FULL,sample,1,dim,,
BP9735_FULL.1,E,19,E19,FULL,sample,1,dim,,
BP9735_FULL.1,F,19,F19,FULL,sample,1,dim,,
