Plate_ID,Well,Sample,Type,number_of_cells/capsules,Group_1,Group_2,Group_3,Index_Set,Index_Well,Index_Name,Plate_Barcode,FA_Well,dilution_factor,ng/uL,nmole/L,Avg. Size,Passed_library,Failed_index_sets,Redo_whole_plate,selected_for_pooling
BP9735_SitukAM.1,D4,,unused,,,,,,,,XUPVQ-1,,,,,,,,,0
BP9735_SitukAM.1,E4,,unused,,,,,,,,XUPVQ-1,,,,,,,,,0
BP9735_SitukAM.1,F4,,unused,,,,,,,,XUPVQ-1,,,,,,,,,0
BP9735_SitukAM.1,G4,,unused,,,,,,,,XUPVQ-1,,,,,,,,,0
BP9735_SitukAM.1,H4,,unused,,,,,,,,XUPVQ-1,,,,,,,,,0
BP9735_SitukAM.1,I4,,unused,,,,,,,,XUPVQ-1,,,,,,,,,0
BP9735_SitukAM.1,J4,,unused,,,,,,,,XUPVQ-1,,,,,,,,,0
BP9735_SitukAM.1,K4,,unused,,,,,,,,XUPVQ-1,,,,,,,,,0
BP9735_SitukAM.1,L4,,unused,,,,,,,,XUPVQ-1,,,,,,,,,0
BP9735_SitukAM.1,M4,,unused,,,,,,,,XUPVQ-1,,,,,,,,,0
BP9735_SitukAM.1,N4,,unused,,,,,,,,XUPVQ-1,,,,,,,,,0
BP9735_SitukAM.1,O4,,unused,,,,,,,,XUPVQ-1,,,,,,,,,0
BP9735_SitukAM.1,P4,,unused,,,,,,,,XUPVQ-1,,,,,,,,,0
BP9735_SitukAM.1,A5,SitukAM,sample,1.0,Bright,,,PE18,A3,PE18_A03,XUPVQ-1,A3,20.0,0.798,2.168,606.0,1.0,[],0.0,1
BP9735_SitukAM.1,B5,,unused,,,,,,,,XUPVQ-1,,,,,,,,,0
BP9735_SitukAM.1,C5,SitukAM,sample,1.0,Bright,,,PE18,B3,PE18_B03,XUPVQ-1,B3,20.0,0.224,0.566,653.0,0.0,[],0.0,0
BP9735_SitukAM.1,D5,,unused,,,,,,,,XUPVQ-1,,,,,,,,,0
BP9735_SitukAM.1,E5,SitukAM,sample,1.0,Bright,,,PE18,C3,PE18_C03,XUPVQ-1,C3,20.0,0.62,1.606,635.0,0.0,[],0.0,0
BP9735_SitukAM.1,F5,,unused,,,,,,,,XUPVQ-1,,,,,,,,,0
BP9735_SitukAM.1,G5,SitukAM,sample,1.0,Bright,,,PE18,D3,PE18_D03,XUPVQ-1,D3,20.0,2.33,6.196,619.0,1.0,[],0.0,1
BP9735_SitukAM.1,H5,,unused,,,,,,,,XUPVQ-1,,,,,,,,,0
BP9735_SitukAM.1,I5,SitukAM,sample,1.0,Bright,,,PE18,E3,PE18_E03,XUPVQ-1,E3,20.0,0.822,2.12,638.0,1.0,[],0.0,1
