Well,Sample ID,Range,ng/uL,%Total,nmole/L,Avg. Size,%CV,Volume uL,QC Result,Failure Mode,Index Name,PCR Cycles
A1,Lib_1,400 bp to 800 bp,81.868,15,186.704,722.0,20,20,Pass,,PE18_A01,12
C1,Lib_2,400 bp to 800 bp,4.456,15,11.888,617.0,20,20,Pass,,PE18_B01,12
E1,Lib_3,400 bp to 800 bp,3.012,15,8.194,605.0,20,20,Pass,,PE18_C01,12
G1,Lib_4,400 bp to 800 bp,3.508,15,9.336,618.0,20,20,Pass,,PE18_D01,12
I1,Lib_5,400 bp to 800 bp,2.464,15,6.46,628.0,20,20,Pass,,PE18_E01,12
K1,Lib_6,400 bp to 800 bp,7.1,15,19.386,603.0,20,20,Pass,,PE18_F01,12
M1,Lib_7,400 bp to 800 bp,4.118,15,11.014,615.0,20,20,Pass,,PE18_G01,12
O1,Lib_8,400 bp to 800 bp,86.062,15,194.476,728.0,20,20,Pass,,PE18_H01,12
A3,Lib_9,400 bp to 800 bp,2.424,15,6.638,601.0,20,20,Pass,,PE18_A02,12
C3,Lib_10,400 bp to 800 bp,1.468,15,3.844,628.0,20,20,Pass,,PE18_B02,12
I3,Lib_11,400 bp to 800 bp,1.024,15,2.72,620.0,20,20,Pass,,PE18_E02,12
K3,Lib_12,400 bp to 800 bp,1.114,15,2.942,623.0,20,20,Pass,,PE18_F02,12
A5,Lib_13,400 bp to 800 bp,0.798,15,2.168,606.0,20,20,Pass,,PE18_A03,12
G5,Lib_14,400 bp to 800 bp,2.33,15,6.196,619.0,20,20,Pass,,PE18_D03,12
I5,Lib_15,400 bp to 800 bp,0.822,15,2.12,638.0,20,20,Pass,,PE18_E03,12
K5,Lib_16,400 bp to 800 bp,9.826,15,26.596,608.0,20,20,Pass,,PE18_F03,12
M5,Lib_17,400 bp to 800 bp,1.8,15,4.66,636.0,20,20,Pass,,PE18_G03,12
O5,Lib_18,400 bp to 800 bp,4.208,15,11.346,610.0,20,20,Pass,,PE18_H03,12
A7,Lib_19,400 bp to 800 bp,4.352,15,11.806,607.0,20,20,Pass,,PE18_A04,12
C7,Lib_20,400 bp to 800 bp,2.714,15,7.06,633.0,20,20,Pass,,PE18_B04,12
E7,Lib_21,400 bp to 800 bp,7.178,15,19.516,605.0,20,20,Pass,,PE18_C04,12
G7,Lib_22,400 bp to 800 bp,5.788,15,15.616,610.0,20,20,Pass,,PE18_D04,12
I7,Lib_23,400 bp to 800 bp,4.774,15,13.054,602.0,20,20,Pass,,PE18_E04,12
K7,Lib_24,400 bp to 800 bp,5.362,15,14.65,602.0,20,20,Pass,,PE18_F04,12
O7,Lib_25,400 bp to 800 bp,1.802,15,4.818,616.0,20,20,Pass,,PE18_H04,12
A9,Lib_26,400 bp to 800 bp,1.19,15,3.23,606.0,20,20,Pass,,PE18_A05,12
I9,Lib_27,400 bp to 800 bp,1.414,15,3.756,620.0,20,20,Pass,,PE18_E05,12
K9,Lib_28,400 bp to 800 bp,1.414,15,3.746,621.0,20,20,Pass,,PE18_F05,12
M9,Lib_29,400 bp to 800 bp,3.66,15,9.922,607.0,20,20,Pass,,PE18_G05,12
O9,Lib_30,400 bp to 800 bp,2.494,15,6.766,606.0,20,20,Pass,,PE18_H05,12
A11,Lib_31,400 bp to 800 bp,2.77,15,7.372,618.0,20,20,Pass,,PE18_A06,12
C11,Lib_32,400 bp to 800 bp,2.332,15,6.234,616.0,20,20,Pass,,PE18_B06,12
E11,Lib_33,400 bp to 800 bp,6.476,15,17.338,615.0,20,20,Pass,,PE18_C06,12
G11,Lib_34,400 bp to 800 bp,17.522,15,47.468,607.0,20,20,Pass,,PE18_D06,12
I11,Lib_35,400 bp to 800 bp,8.078,15,21.996,604.0,20,20,Pass,,PE18_E06,12
K11,Lib_36,400 bp to 800 bp,14.826,15,40.22,607.0,20,20,Pass,,PE18_F06,12
M11,Lib_37,400 bp to 800 bp,5.04,15,13.648,608.0,20,20,Pass,,PE18_G06,12
O11,Lib_38,400 bp to 800 bp,7.97,15,21.668,605.0,20,20,Pass,,PE18_H06,12
A13,Lib_39,400 bp to 800 bp,4.154,15,11.242,608.0,20,20,Pass,,PE18_A07,12
C13,Lib_40,400 bp to 800 bp,3.966,15,10.69,610.0,20,20,Pass,,PE18_B07,12
E13,Lib_41,400 bp to 800 bp,3.48,15,9.39,610.0,20,20,Pass,,PE18_C07,12
G13,Lib_42,400 bp to 800 bp,5.028,15,13.75,602.0,20,20,Pass,,PE18_D07,12
I13,Lib_43,400 bp to 800 bp,1.254,15,3.294,627.0,20,20,Pass,,PE18_E07,12
K13,Lib_44,400 bp to 800 bp,2.716,15,7.184,622.0,20,20,Pass,,PE18_F07,12
M13,Lib_45,400 bp to 800 bp,2.216,15,6.002,608.0,20,20,Pass,,PE18_G07,12
E15,Lib_46,400 bp to 800 bp,1.13,15,3.058,608.0,20,20,Pass,,PE18_C08,12
G15,Lib_47,400 bp to 800 bp,1.402,15,3.712,622.0,20,20,Pass,,PE18_D08,12
K15,Lib_48,400 bp to 800 bp,3.222,15,8.51,623.0,20,20,Pass,,PE18_F08,12
M15,Lib_49,400 bp to 800 bp,6.414,15,17.392,607.0,20,20,Pass,,PE18_G08,12
O15,Lib_50,400 bp to 800 bp,3.482,15,9.206,622.0,20,20,Pass,,PE18_H08,12
A17,Lib_51,400 bp to 800 bp,3.496,15,9.38,614.0,20,20,Pass,,PE18_A09,12
C17,Lib_52,400 bp to 800 bp,5.196,15,13.794,620.0,20,20,Pass,,PE18_B09,12
E17,Lib_53,400 bp to 800 bp,6.06,15,16.442,607.0,20,20,Pass,,PE18_C09,12
G17,Lib_54,400 bp to 800 bp,18.608,15,50.602,605.0,20,20,Pass,,PE18_D09,12
I17,Lib_55,400 bp to 800 bp,4.272,15,11.558,608.0,20,20,Pass,,PE18_E09,12
K17,Lib_56,400 bp to 800 bp,15.742,15,43.072,601.0,20,20,Pass,,PE18_F09,12
M17,Lib_57,400 bp to 800 bp,11.366,15,31.046,602.0,20,20,Pass,,PE18_G09,12
O17,Lib_58,400 bp to 800 bp,3.532,15,9.386,619.0,20,20,Pass,,PE18_H09,12
A19,Lib_59,400 bp to 800 bp,1.81,15,4.762,626.0,20,20,Pass,,PE18_A10,12
C19,Lib_60,400 bp to 800 bp,2.128,15,5.706,614.0,20,20,Pass,,PE18_B10,12
E19,Lib_61,400 bp to 800 bp,1.838,15,4.968,609.0,20,20,Pass,,PE18_C10,12
G19,Lib_62,400 bp to 800 bp,5.73,15,15.788,597.0,20,20,Pass,,PE18_D10,12
I19,Lib_63,400 bp to 800 bp,2.446,15,6.584,611.0,20,20,Pass,,PE18_E10,12
M19,Lib_64,400 bp to 800 bp,1.108,15,2.96,616.0,20,20,Pass,,PE18_G10,12
G21,Lib_65,400 bp to 800 bp,1.886,15,5.122,606.0,20,20,Pass,,PE18_D11,12
I21,Lib_66,400 bp to 800 bp,3.994,15,10.61,619.0,20,20,Pass,,PE18_E11,12
K21,Lib_67,400 bp to 800 bp,16.398,15,44.46,607.0,20,20,Pass,,PE18_F11,12
M21,Lib_68,400 bp to 800 bp,2.484,15,6.55,624.0,20,20,Pass,,PE18_G11,12
O21,Lib_69,400 bp to 800 bp,6.938,15,18.618,613.0,20,20,Pass,,PE18_H11,12
A23,Lib_70,400 bp to 800 bp,88.258,15,197.95,734.0,20,20,Pass,,PE18_A12,12
C23,Lib_71,400 bp to 800 bp,8.436,15,22.668,612.0,20,20,Pass,,PE18_B12,12
