Well,Sample ID,Range,ng/uL,%Total,nmole/L,Avg. Size,%CV,Volume uL,QC Result,Failure Mode,Index Name,PCR Cycles
A1,Lib_164,400 bp to 800 bp,42.79,15,97.834,720.0,20,20,Pass,,PE17_A01,12
B1,Lib_165,400 bp to 800 bp,0.692,15,1.88,606.0,20,20,Pass,,PE18_A01,12
C1,Lib_166,400 bp to 800 bp,0.34,15,0.852,654.0,20,20,Pass,,PE17_B01,12
D1,Lib_167,400 bp to 800 bp,3.344,15,9.056,608.0,20,20,Pass,,PE18_B01,12
E1,Lib_168,400 bp to 800 bp,0.226,15,0.57,656.0,20,20,Pass,,PE17_C01,12
F1,Lib_169,400 bp to 800 bp,2.39,15,6.516,604.0,20,20,Pass,,PE18_C01,12
G1,Lib_170,400 bp to 800 bp,0.434,15,1.164,614.0,20,20,Pass,,PE17_D01,12
H1,Lib_171,400 bp to 800 bp,5.688,15,15.564,601.0,20,20,Pass,,PE18_D01,12
I1,Lib_172,400 bp to 800 bp,0.422,15,1.084,639.0,20,20,Pass,,PE17_E01,12
J1,Lib_173,400 bp to 800 bp,4.636,15,12.582,606.0,20,20,Pass,,PE18_E01,12
K1,Lib_174,400 bp to 800 bp,0.186,15,0.474,646.0,20,20,Pass,,PE17_F01,12
L1,Lib_175,400 bp to 800 bp,4.846,15,13.298,600.0,20,20,Pass,,PE18_F01,12
M1,Lib_176,400 bp to 800 bp,0.588,15,1.676,578.0,20,20,Pass,,PE17_G01,12
N1,Lib_177,400 bp to 800 bp,2.6,15,7.044,607.0,20,20,Pass,,PE18_G01,12
O1,Lib_178,400 bp to 800 bp,54.01,15,119.404,744.0,20,20,Pass,,PE17_H01,12
P1,Lib_179,400 bp to 800 bp,4.746,15,12.916,605.0,20,20,Pass,,PE18_H01,12
A2,Lib_180,400 bp to 800 bp,3.526,15,9.58,606.0,20,20,Pass,,PE19_A01,12
B2,Lib_181,400 bp to 800 bp,0.762,15,1.984,632.0,20,20,Pass,,PE20_A01,12
C2,Lib_182,400 bp to 800 bp,3.626,15,10.054,594.0,20,20,Pass,,PE19_B01,12
D2,Lib_183,400 bp to 800 bp,0.148,15,0.346,706.0,20,20,Pass,,PE20_B01,12
E2,Lib_184,400 bp to 800 bp,1.054,15,3.392,511.0,20,20,Pass,,PE19_C01,12
F2,Lib_185,400 bp to 800 bp,0.348,15,0.89,644.0,20,20,Pass,,PE20_C01,12
G2,Lib_186,400 bp to 800 bp,1.182,15,3.226,603.0,20,20,Pass,,PE19_D01,12
H2,Lib_187,400 bp to 800 bp,0.376,15,0.948,651.0,20,20,Pass,,PE20_D01,12
I2,Lib_188,400 bp to 800 bp,0.72,15,1.884,630.0,20,20,Pass,,PE19_E01,12
J2,Lib_189,400 bp to 800 bp,0.534,15,1.398,630.0,20,20,Pass,,PE20_E01,12
K2,Lib_190,400 bp to 800 bp,1.198,15,3.242,608.0,20,20,Pass,,PE19_F01,12
L2,Lib_191,400 bp to 800 bp,6.962,15,18.98,604.0,20,20,Pass,,PE20_F01,12
M2,Lib_192,400 bp to 800 bp,2.07,15,5.668,601.0,20,20,Pass,,PE19_G01,12
N2,Lib_193,400 bp to 800 bp,5.486,15,15.082,599.0,20,20,Pass,,PE20_G01,12
O2,Lib_194,400 bp to 800 bp,0.414,15,1.132,601.0,20,20,Pass,,PE19_H01,12
P2,Lib_195,400 bp to 800 bp,10.024,15,27.216,606.0,20,20,Pass,,PE20_H01,12
A3,Lib_196,400 bp to 800 bp,7.312,15,19.894,605.0,20,20,Pass,,PE17_A02,12
B3,Lib_197,400 bp to 800 bp,0.12,15,0.294,674.0,20,20,Pass,,PE18_A02,12
C3,Lib_198,400 bp to 800 bp,7.832,15,21.382,603.0,20,20,Pass,,PE17_B02,12
D3,Lib_199,400 bp to 800 bp,0.532,15,1.374,637.0,20,20,Pass,,PE18_B02,12
E3,Lib_200,400 bp to 800 bp,4.574,15,12.48,603.0,20,20,Pass,,PE17_C02,12
F3,Lib_201,400 bp to 800 bp,0.674,15,1.694,655.0,20,20,Pass,,PE18_C02,12
G3,Lib_202,400 bp to 800 bp,2.224,15,6.032,607.0,20,20,Pass,,PE17_D02,12
H3,Lib_203,400 bp to 800 bp,0.4,15,1.022,644.0,20,20,Pass,,PE18_D02,12
I3,Lib_204,400 bp to 800 bp,4.188,15,11.566,596.0,20,20,Pass,,PE17_E02,12
J3,Lib_205,400 bp to 800 bp,0.398,15,0.996,657.0,20,20,Pass,,PE18_E02,12
K3,Lib_206,400 bp to 800 bp,6.43,15,17.804,594.0,20,20,Pass,,PE17_F02,12
L3,Lib_207,400 bp to 800 bp,1.28,15,3.44,612.0,20,20,Pass,,PE18_F02,12
M3,Lib_208,400 bp to 800 bp,1.416,15,3.862,603.0,20,20,Pass,,PE17_G02,12
N3,Lib_209,400 bp to 800 bp,0.984,15,2.658,609.0,20,20,Pass,,PE18_G02,12
O3,Lib_210,400 bp to 800 bp,1.316,15,3.532,613.0,20,20,Pass,,PE17_H02,12
P3,Lib_211,400 bp to 800 bp,1.914,15,5.238,601.0,20,20,Pass,,PE18_H02,12
A4,Lib_212,400 bp to 800 bp,,15,,,20,20,Pass,,PE19_A02,12
B4,Lib_213,400 bp to 800 bp,,15,,,20,20,Pass,,PE20_A02,12
C4,Lib_214,400 bp to 800 bp,,15,,,20,20,Pass,,PE19_B02,12
D4,Lib_215,400 bp to 800 bp,,15,,,20,20,Pass,,PE20_B02,12
E4,Lib_216,400 bp to 800 bp,,15,,,20,20,Pass,,PE19_C02,12
F4,Lib_217,400 bp to 800 bp,,15,,,20,20,Pass,,PE20_C02,12
G4,Lib_218,400 bp to 800 bp,,15,,,20,20,Pass,,PE19_D02,12
H4,Lib_219,400 bp to 800 bp,,15,,,20,20,Pass,,PE20_D02,12
I4,Lib_220,400 bp to 800 bp,,15,,,20,20,Pass,,PE19_E02,12
J4,Lib_221,400 bp to 800 bp,,15,,,20,20,Pass,,PE20_E02,12
K4,Lib_222,400 bp to 800 bp,,15,,,20,20,Pass,,PE19_F02,12
L4,Lib_223,400 bp to 800 bp,,15,,,20,20,Pass,,PE20_F02,12
