Well,Sample ID,Range,ng/uL,% Total,nmole/L,Avg. Size,%CV,Size Threshold (b.p.),DQN
H7,XUPVQ-3_BP4444_RexRM.1_O13,400 bp to 800 bp,0.0657,21.5,0.1739,622,17.82,300,9.1
A8,XUPVQ-3_BP4444_RexRM.1_A15,400 bp to 800 bp,0.2063,23.5,0.5604,606,18.58,300,9.4
B8,XUPVQ-3_BP4444_RexRM.1_C15,400 bp to 800 bp,0.1624,23.7,0.4402,607,18.38,300,9.1
C8,XUPVQ-3_BP4444_RexRM.1_E15,400 bp to 800 bp,0.1903,21.6,0.5198,603,18.43,300,9
D8,XUPVQ-3_BP4444_RexRM.1_G15,400 bp to 800 bp,0.0913,16.2,0.2501,601,18.59,300,8.7
E8,XUPVQ-3_BP4444_RexRM.1_I15,400 bp to 800 bp,0.0761,12.2,0.2057,609,18.68,300,8.4
F8,XUPVQ-3_BP4444_RexRM.1_K15,400 bp to 800 bp,0.093,14.9,0.2532,604,18.57,300,8.7
G8,XUPVQ-3_BP4444_RexRM.1_M15,400 bp to 800 bp,0.0811,15.4,0.2225,600,18.92,300,8.5
H8,XUPVQ-3_BP4444_RexRM.1_O15,400 bp to 800 bp,0.0432,16.3,0.1144,621,17.64,300,8.5
A9,XUPVQ-3_BP4444_RexRM.1_A17,400 bp to 800 bp,0.0125,9.2,0.0317,649,14.99,300,7.5
B9,XUPVQ-3_BP4444_RexRM.1_C17,400 bp to 800 bp,0.041,10.3,0.1114,606,17.72,300,8
C9,XUPVQ-3_BP4444_RexRM.1_E17,400 bp to 800 bp,0.0424,9.3,0.114,613,18.23,300,8.5
D9,XUPVQ-3_BP4444_RexRM.1_G17,400 bp to 800 bp,0.0626,12.7,0.1671,617,17.99,300,7.9
E9,XUPVQ-3_BP4444_RexRM.1_I17,400 bp to 800 bp,0.0259,6.9,0.0656,649,15.89,300,8.8
F9,XUPVQ-3_BP4444_RexRM.1_K17,400 bp to 800 bp,0.3491,18.3,0.9728,591,19.18,300,8.8
G9,XUPVQ-3_BP4444_RexRM.1_M17,400 bp to 800 bp,0.3192,22.1,0.8731,602,18.86,300,9.3
H9,XUPVQ-3_BP4444_RexRM.1_O17,400 bp to 800 bp,0.3329,24.8,0.9065,604,18.7,300,9.3
A10,XUPVQ-3_BP4444_RexRM.1_A19,400 bp to 800 bp,0.2701,26,0.7347,605,18.66,300,9.4
B10,XUPVQ-3_BP4444_RexRM.1_C19,400 bp to 800 bp,0.3671,24.7,0.9984,605,18.6,300,9.4
C10,XUPVQ-3_BP4444_RexRM.1_E19,400 bp to 800 bp,0.4116,23.6,1.1202,605,18.77,300,9.4
D10,XUPVQ-3_BP4444_RexRM.1_G19,400 bp to 800 bp,0.4344,26.8,1.188,602,18.63,300,9.3
E10,XUPVQ-3_BP4444_RexRM.1_I19,400 bp to 800 bp,0.1988,23.7,0.5448,601,18.7,300,9.1
F10,XUPVQ-3_BP4444_RexRM.1_K19,400 bp to 800 bp,0.4704,25.2,1.2872,601,18.76,300,9.3
G10,XUPVQ-3_BP4444_RexRM.1_M19,400 bp to 800 bp,0.233,23,0.6383,601,18.81,300,9.2
H10,XUPVQ-3_BP4444_RexRM.1_O19,400 bp to 800 bp,0.2235,25.8,0.6094,604,18.22,300,9.2
A11,XUPVQ-3_BP4444_RexRM.1_A21,400 bp to 800 bp,0.0648,22.1,0.1729,616,18.13,300,8.9
B11,XUPVQ-3_BP4444_RexRM.1_C21,400 bp to 800 bp,0.0659,13.5,0.1755,618,17.32,300,8.8
C11,XUPVQ-3_BP4444_RexRM.1_E21,400 bp to 800 bp,0.0974,13.5,0.2606,615,17.36,300,8.8
D11,XUPVQ-3_BP4444_RexRM.1_G21,400 bp to 800 bp,0.1128,11.5,0.31,599,18.32,300,8.6
E11,XUPVQ-3_BP4444_RexRM.1_I21,400 bp to 800 bp,0.0827,16.3,0.2212,615,17.81,300,9
F11,XUPVQ-3_BP4444_RexRM.1_K21,400 bp to 800 bp,0.0106,1.8,0.0266,657,14.79,300,6
G11,XUPVQ-3_BP4444_RexRM.1_M21,400 bp to 800 bp,0.0136,2.7,0.0345,649,16.62,300,7.4
H11,XUPVQ-3_BP4444_RexRM.1_O21,400 bp to 800 bp,0.0256,3.9,0.0665,633,14.44,300,6.2
A12,XUPVQ-3_BP4444_RexRM.1_A23,100 bp to 4000 bp,1.8442,45,4.2691,711,64.41,300,8.5
B12,XUPVQ-3_BP4444_RexRM.1_C23,400 bp to 800 bp,0.014,7.1,0.0358,643,15.38,300,7
C12,XUPVQ-3_BP4444_RexRM.1_E23,400 bp to 800 bp,0.0134,3.6,0.0341,648,15.16,300,7
D12,XUPVQ-3_BP4444_RexRM.1_G23,400 bp to 800 bp,0.0283,4.8,0.0746,624,17.28,300,6.9
E12,LibStd_E12,400 bp to 800 bp,0.1198,15.2,0.3262,604,18.47,300,8.9
F12,LibStd_F12,400 bp to 800 bp,0.5604,22.9,1.5285,603,18.79,300,9.4
G12,LibStd_G12,400 bp to 800 bp,0.4776,28,1.2996,605,18.66,300,9.5
H12,ladder_H12,,,,,,,300,3.7
