Library_Plate_Barcode,Dilution_Plate_Barcode,FA_Plate_Barcode,Library_Well,FA_Well,Nextera_Vol_Add,Dilution_Vol,FA_Vol_Add,Dilution_Plate_Preload,Total_buffer_aspiration
hXUPVQ-3,XUPVQ-3D,XUPVQ-3F,M7,G4,30,2.4,2.4,10,40
hXUPVQ-3,XUPVQ-3D,XUPVQ-3F,O7,H4,30,2.4,2.4,10,40
hXUPVQ-3,XUPVQ-3D,XUPVQ-3F,A9,A5,30,2.4,2.4,10,40
hXUPVQ-3,XUPVQ-3D,XUPVQ-3F,C9,B5,30,2.4,2.4,10,40
hXUPVQ-3,XUPVQ-3D,XUPVQ-3F,E9,C5,30,2.4,2.4,10,40
hXUPVQ-3,XUPVQ-3D,XUPVQ-3F,G9,D5,30,2.4,2.4,10,40
hXUPVQ-3,XUPVQ-3D,XUPVQ-3F,I9,E5,30,2.4,2.4,10,40
hXUPVQ-3,XUPVQ-3D,XUPVQ-3F,K9,F5,30,2.4,2.4,10,40
hXUPVQ-3,XUPVQ-3D,XUPVQ-3F,M9,G5,30,2.4,2.4,10,40
hXUPVQ-3,XUPVQ-3D,XUPVQ-3F,O9,H5,30,2.4,2.4,10,40
hXUPVQ-3,XUPVQ-3D,XUPVQ-3F,A11,A6,30,2.4,2.4,10,40
hXUPVQ-3,XUPVQ-3D,XUPVQ-3F,C11,B6,30,2.4,2.4,10,40
hXUPVQ-3,XUPVQ-3D,XUPVQ-3F,E11,C6,30,2.4,2.4,10,40
hXUPVQ-3,XUPVQ-3D,XUPVQ-3F,G11,D6,30,2.4,2.4,10,40
hXUPVQ-3,XUPVQ-3D,XUPVQ-3F,I11,E6,30,2.4,2.4,10,40
hXUPVQ-3,XUPVQ-3D,XUPVQ-3F,K11,F6,30,2.4,2.4,10,40
hXUPVQ-3,XUPVQ-3D,XUPVQ-3F,M11,G6,30,2.4,2.4,10,40
hXUPVQ-3,XUPVQ-3D,XUPVQ-3F,O11,H6,30,2.4,2.4,10,40
hXUPVQ-3,XUPVQ-3D,XUPVQ-3F,A13,A7,30,2.4,2.4,10,40
hXUPVQ-3,XUPVQ-3D,XUPVQ-3F,C13,B7,30,2.4,2.4,10,40
hXUPVQ-3,XUPVQ-3D,XUPVQ-3F,E13,C7,30,2.4,2.4,10,40
hXUPVQ-3,XUPVQ-3D,XUPVQ-3F,G13,D7,30,2.4,2.4,10,40
hXUPVQ-3,XUPVQ-3D,XUPVQ-3F,I13,E7,30,2.4,2.4,10,40
hXUPVQ-3,XUPVQ-3D,XUPVQ-3F,K13,F7,30,2.4,2.4,10,40
hXUPVQ-3,XUPVQ-3D,XUPVQ-3F,M13,G7,30,2.4,2.4,10,40
hXUPVQ-3,XUPVQ-3D,XUPVQ-3F,O13,H7,30,2.4,2.4,10,40
hXUPVQ-3,XUPVQ-3D,XUPVQ-3F,A15,A8,30,2.4,2.4,10,40
hXUPVQ-3,XUPVQ-3D,XUPVQ-3F,C15,B8,30,2.4,2.4,10,40
hXUPVQ-3,XUPVQ-3D,XUPVQ-3F,E15,C8,30,2.4,2.4,10,40
hXUPVQ-3,XUPVQ-3D,XUPVQ-3F,G15,D8,30,2.4,2.4,10,40
hXUPVQ-3,XUPVQ-3D,XUPVQ-3F,I15,E8,30,2.4,2.4,10,40
hXUPVQ-3,XUPVQ-3D,XUPVQ-3F,K15,F8,30,2.4,2.4,10,40
hXUPVQ-3,XUPVQ-3D,XUPVQ-3F,M15,G8,30,2.4,2.4,10,40
hXUPVQ-3,XUPVQ-3D,XUPVQ-3F,O15,H8,30,2.4,2.4,10,40
hXUPVQ-3,XUPVQ-3D,XUPVQ-3F,A17,A9,30,2.4,2.4,10,40
hXUPVQ-3,XUPVQ-3D,XUPVQ-3F,C17,B9,30,2.4,2.4,10,40
hXUPVQ-3,XUPVQ-3D,XUPVQ-3F,E17,C9,30,2.4,2.4,10,40
hXUPVQ-3,XUPVQ-3D,XUPVQ-3F,G17,D9,30,2.4,2.4,10,40
hXUPVQ-3,XUPVQ-3D,XUPVQ-3F,I17,E9,30,2.4,2.4,10,40
hXUPVQ-3,XUPVQ-3D,XUPVQ-3F,K17,F9,30,2.4,2.4,10,40
hXUPVQ-3,XUPVQ-3D,XUPVQ-3F,M17,G9,30,2.4,2.4,10,40
hXUPVQ-3,XUPVQ-3D,XUPVQ-3F,O17,H9,30,2.4,2.4,10,40
hXUPVQ-3,XUPVQ-3D,XUPVQ-3F,A19,A10,30,2.4,2.4,10,40
