plate_name,project,sample,plate_number,is_custom,barcode,created_timestamp
BP9735_SitukAM.1,BP9735,SitukAM,1,0,XUPVQ-1,2026-03-10T08:34:36.155671
BP9735_SitukAM.2,BP9735,SitukAM,2,0,XUPVQ-2,2026-03-10T08:34:36.156330
BP4444_RexRM.1,BP4444,RexRM,1,0,XUPVQ-3,2026-03-10T08:34:36.156388
BP4444_RexRM.2,BP4444,RexRM,2,0,XUPVQ-4,2026-03-10T08:34:36.156436
BP4444_RexRM.3,BP4444,RexRM,3,0,XUPVQ-5,2026-03-10T08:34:36.156484
BP9735_FULL.1,CUSTOM,CUSTOM,1,1,XUPVQ-6,2026-03-10T08:34:36.156529
