Well,Sample ID,Range,ng/uL,%Total,nmole/L,Avg. Size,%CV,Volume uL,QC Result,Failure Mode,Index Name,PCR Cycles
M17,LBBBNCL,400 bp to 800 bp,0,15,0,0,20,20,Fail,Sample Problem,PE17_G09,12
O17,LBBBNCX,400 bp to 800 bp,0.393,15,1.078,600.0,20,20,Pass,,PE17_H09,12
A19,LBBBMZF,400 bp to 800 bp,1.682,15,4.62,599.0,20,20,Pass,,PE17_A10,12
C19,LBBBMZL,400 bp to 800 bp,1.06,15,2.903,601.0,20,20,Pass,,PE17_B10,12
E19,LBBBMZR,400 bp to 800 bp,0.828,15,2.273,599.0,20,20,Pass,,PE17_C10,12
G19,LBBBMZX,400 bp to 800 bp,1.03,15,2.782,609.0,20,20,Pass,,PE17_D10,12
I19,LBBBNBL,400 bp to 800 bp,0.804,15,2.241,591.0,20,20,Pass,,PE17_E10,12
K19,LBBBNBY,400 bp to 800 bp,0,15,0,0,20,20,Fail,Sample Problem,PE17_F10,12
M19,LBBBNCM,400 bp to 800 bp,0,15,0,0,20,20,Fail,Sample Problem,PE17_G10,12
O19,LBBBNCY,400 bp to 800 bp,0.671,15,1.836,601.0,20,20,Pass,,PE17_H10,12
A21,LBBBMZG,400 bp to 800 bp,0.805,15,2.302,576.0,20,20,Pass,,PE17_A11,12
C21,LBBBMZM,400 bp to 800 bp,1.218,15,3.254,616.0,20,20,Pass,,PE17_B11,12
E21,LBBBMZS,400 bp to 800 bp,1.132,15,3.096,602.0,20,20,Pass,,PE17_C11,12
G21,LBBBMZY,400 bp to 800 bp,0.637,15,1.743,601.0,20,20,Pass,,PE17_D11,12
I21,LBBBNBM,400 bp to 800 bp,0.453,15,1.234,604.0,20,20,Pass,,PE17_E11,12
K21,LBBBNBZ,400 bp to 800 bp,0.382,15,1.067,590.0,20,20,Pass,,PE17_F11,12
M21,LBBBNCN,400 bp to 800 bp,0.359,15,1.007,587.0,20,20,Pass,,PE17_G11,12
