Library_Plate_Barcode,Dilution_Plate_Barcode,FA_Plate_Barcode,Library_Well,FA_Well,Nextera_Vol_Add,Dilution_Vol,FA_Vol_Add,Dilution_Plate_Preload,Total_buffer_aspiration
hXUPVQ-6,XUPVQ-6D,XUPVQ-6F,L22,F8,30,2.4,2.4,10,40
hXUPVQ-6,XUPVQ-6D,XUPVQ-6F,N22,G8,30,2.4,2.4,10,40
hXUPVQ-6,XUPVQ-6D,XUPVQ-6F,P22,H8,30,2.4,2.4,10,40
hXUPVQ-6,XUPVQ-6D,XUPVQ-6F,A23,A9,30,2.4,2.4,10,40
hXUPVQ-6,XUPVQ-6D,XUPVQ-6F,C23,B9,30,2.4,2.4,10,40
hXUPVQ-6,XUPVQ-6D,XUPVQ-6F,E23,C9,30,2.4,2.4,10,40
hXUPVQ-6,XUPVQ-6D,XUPVQ-6F,G23,D9,30,2.4,2.4,10,40
hXUPVQ-6,XUPVQ-6D,XUPVQ-6F,I23,E9,30,2.4,2.4,10,40
hXUPVQ-6,XUPVQ-6D,XUPVQ-6F,K23,F9,30,2.4,2.4,10,40
hXUPVQ-6,XUPVQ-6D,XUPVQ-6F,M23,G9,30,2.4,2.4,10,40
hXUPVQ-6,XUPVQ-6D,XUPVQ-6F,O23,H9,30,2.4,2.4,10,40
hXUPVQ-6,XUPVQ-6D,XUPVQ-6F,B23,A10,30,2.4,2.4,10,40
hXUPVQ-6,XUPVQ-6D,XUPVQ-6F,D23,B10,30,2.4,2.4,10,40
hXUPVQ-6,XUPVQ-6D,XUPVQ-6F,F23,C10,30,2.4,2.4,10,40
hXUPVQ-6,XUPVQ-6D,XUPVQ-6F,H23,D10,30,2.4,2.4,10,40
hXUPVQ-6,XUPVQ-6D,XUPVQ-6F,J23,E10,30,2.4,2.4,10,40
hXUPVQ-6,XUPVQ-6D,XUPVQ-6F,L23,F10,30,2.4,2.4,10,40
hXUPVQ-6,XUPVQ-6D,XUPVQ-6F,N23,G10,30,2.4,2.4,10,40
hXUPVQ-6,XUPVQ-6D,XUPVQ-6F,P23,H10,30,2.4,2.4,10,40
hXUPVQ-6,XUPVQ-6D,XUPVQ-6F,A24,A11,30,2.4,2.4,10,40
hXUPVQ-6,XUPVQ-6D,XUPVQ-6F,C24,B11,30,2.4,2.4,10,40
hXUPVQ-6,XUPVQ-6D,XUPVQ-6F,E24,C11,30,2.4,2.4,10,40
hXUPVQ-6,XUPVQ-6D,XUPVQ-6F,G24,D11,30,2.4,2.4,10,40
hXUPVQ-6,XUPVQ-6D,XUPVQ-6F,I24,E11,30,2.4,2.4,10,40
hXUPVQ-6,XUPVQ-6D,XUPVQ-6F,K24,F11,30,2.4,2.4,10,40
hXUPVQ-6,XUPVQ-6D,XUPVQ-6F,B24,G11,30,2.4,2.4,10,40
hXUPVQ-6,XUPVQ-6D,XUPVQ-6F,D24,H11,30,2.4,2.4,10,40
hXUPVQ-6,XUPVQ-6D,XUPVQ-6F,F24,A12,30,2.4,2.4,10,40
hXUPVQ-6,XUPVQ-6D,XUPVQ-6F,H24,B12,30,2.4,2.4,10,40
hXUPVQ-6,XUPVQ-6D,XUPVQ-6F,J24,C12,30,2.4,2.4,10,40
hXUPVQ-6,XUPVQ-6D,XUPVQ-6F,L24,D12,30,2.4,2.4,10,40
